主管,部コード,款コード,項コード,目コード,部名,款名,項名,目名,平成24年度予算額(千円),前年度予算額(千円),比較増△減額(千円)
財務省,5,1,03,01,雑収入,国有財産利用収入,配当金収入,日本銀行配当金収入,2750,2750,0
財務省,5,1,03,03,雑収入,国有財産利用収入,配当金収入,成田国際空港株式会社配当金収入,79897,248679,-168782
財務省,5,1,03,05,雑収入,国有財産利用収入,配当金収入,日本郵政株式会社配当金収入,11060496,13825620,-2765124
財務省,5,1,03,04,雑収入,国有財産利用収入,配当金収入,東京地下鉄株式会社配当金収入,0,275250,-275250
財務省,5,2,01,01,雑収入,納付金,日本銀行納付金,日本銀行納付金,275200000,286200000,-11000000
財務省,5,2,06,01,雑収入,納付金,独立行政法人造幣局納付金,独立行政法人造幣局納付金,3117232,3173514,-56282
財務省,5,2,03,07,雑収入,納付金,雑納付金,株式会社国際協力銀行納付金,85250,0,85250
財務省,5,2,03,09,雑収入,納付金,雑納付金,預金保険機構納付金,16526002,25023820,-8497818
財務省,5,2,03,03,雑収入,納付金,雑納付金,株式会社日本政策金融公庫納付金,0,797067,-797067
財務省,5,2,03,65,雑収入,納付金,雑納付金,独立行政法人酒類総合研究所納付金,0,319193,-319193
財務省,5,2,03,87,雑収入,納付金,雑納付金,独立行政法人造幣局納付金,0,278558,-278558
財務省,5,2,03,88,雑収入,納付金,雑納付金,独立行政法人国立印刷局納付金,0,944506,-944506
財務省,5,3,03,09,雑収入,諸収入,特別会計受入金,外国為替資金特別会計受入金,1972501927,2933153481,-960651554
財務省,5,3,03,26,雑収入,諸収入,特別会計受入金,財政投融資特別会計受入金,43869447,1228985069,-1185115622
財務省,5,3,03,24,雑収入,諸収入,特別会計受入金,食料安定供給特別会計受入金,2870,2870,0
財務省,5,3,03,25,雑収入,諸収入,特別会計受入金,社会資本整備事業特別会計受入金,80912839,83536623,-2623784
財務省,5,3,06,01,雑収入,諸収入,許可及手数料,手数料,958593,975842,-17249
財務省,5,3,06,02,雑収入,諸収入,許可及手数料,許可料,1582236,1576396,5840
財務省,5,3,07,07,雑収入,諸収入,受託調査試験及役務収入,地方消費税徴収取扱費受入,10145704,10168704,-23000
財務省,5,3,08,04,雑収入,諸収入,懲罰及没収金,国税犯則者納金,259021,272001,-12980
財務省,5,3,09,01,雑収入,諸収入,弁償及返納金,弁償及違約金,1011634,1094724,-83090
財務省,5,3,09,02,雑収入,諸収入,弁償及返納金,返納金,1239884,809617,430267
財務省,5,3,11,04,雑収入,諸収入,物品売払収入,不用物品売払代,41189,49876,-8687
財務省,5,3,02,01,雑収入,諸収入,文官恩給費特別会計等負担金,文官恩給費特別会計等負担金,2043594,2383944,-340350
財務省,5,3,99,01,雑収入,諸収入,雑入,労働保険料被保険者負担金,83592,70962,12630
財務省,5,3,99,03,雑収入,諸収入,雑入,小切手支払未済金収入,416,421,-5
財務省,5,3,99,04,雑収入,諸収入,雑入,延滞金,96849,130578,-33729
財務省,5,3,99,17,雑収入,諸収入,雑入,経過利子受入,37701132,47517575,-9816443
財務省,5,3,99,99,雑収入,諸収入,雑入,雑収,1002338,41405681,-40403343
財務省,5,3,99,53,雑収入,諸収入,雑入,貨幣交換差増,0,11855879,-11855879
財務省,5,3,99,54,雑収入,諸収入,雑入,旧令共済年金勘定剰余金受入,0,1104,-1104
財務省,6,1,01,01,公債金,公債金,公債金,公債金,5909000000,7310000000,-1401000000
財務省,6,1,02,01,公債金,公債金,特例公債金,特例公債金,38335000000,36988000000,1347000000
財務省,6,1,04,01,公債金,公債金,復興公債金,復興公債金,0,11550000000,-11550000000
